block_heights,creation_times,volatilites,weighted_prices,block_hash
500106,2017-12-19 10:48:40,0.0567788255790149,18090.954476400002,0000000000000000000c775cfe9d7be701588eb55f0f54bc5d51c6c268cb436f
491149,2017-10-22 13:32:12,0.01976883918545163,5845.32863482,0000000000000000001c6172fef4dc8ea582651ee7235c8b200e818f46a9161f
482310,2017-08-28 04:25:25,0.047972925916939864,4221.18629106,0000000000000000004ce9774741e6b753200d22918d138fa327a77103ca802f
507520,2018-02-04 03:02:37,0.03275957024148247,9121.81115606,000000000000000000293baaad7ae3594291e75e63affc8db928344e19848d21
479186,2017-08-05 11:26:00,0.03261805207491765,3149.12097484,000000000000000000e1e4d1f04426df0aac21aed647cce70873bb7f0ba50db8
506684,2018-01-29 17:46:45,0.024711326652361715,11260.9390928,00000000000000000019b0473b2265dba62dd45093fb0f890132b2f6cc1ecce8
486739,2017-09-24 06:47:37,0.027823006519632005,3637.97902054,000000000000000000c216580c68fe17a18567874d12d17ad892bf00d11173ec
474820,2017-07-08 16:12:38,0.02717450363634493,2530.75599132,0000000000000000013800566a69abab6cc217283a44a6ba63a518a8fd321feb
503909,2018-01-12 18:40:23,0.04840818629703838,13551.889154,0000000000000000008b0f741e455fd34981c3922900d83030e3c2951d8e4f8f
478128,2017-07-29 13:42:31,0.04261805214747928,2667.4568428400007,0000000000000000014272b365c52bb1fda73e6d0eaee9f98edac981853e070a
505427,2018-01-21 22:51:43,0.057722100525757325,11235.7948802,000000000000000000390413e01dbf7461b5452357c221e7f828672ae6a5b374
500832,2017-12-24 13:09:51,0.041480346696216336,13257.0149248,0000000000000000003eb4ca01713854f0f7d078d47935365e08ecbe61b130cb
476109,2017-07-16 19:07:21,0.02066319484511396,1892.47361086,0000000000000000012709536910e8fe3d40b2616e85546190f5697d002d0df4
492816,2017-11-02 16:46:25,0.021902890105570533,6958.292673000001,00000000000000000092078441ae5c63b812396974bf286045acbad1fce2f726
485728,2017-09-17 11:53:03,0.02558401042699662,3555.92236628,00000000000000000107ff3392fd9d0279a12675924b048c8f7ab1baa9f78dce
496620,2017-11-29 04:05:25,0.021529171177235167,10239.949977200002,0000000000000000005421d8d8283c1a24093fc74926b8a2e030d2ae5905956e
487100,2017-09-26 23:11:54,0.019076571088463282,3890.0986085800014,0000000000000000006bdd0e85dab216f090fa5e259e6cb2d1a322ac4b4944de
501406,2017-12-28 10:44:21,0.05216182916262424,14054.519039200002,00000000000000000037fc2fdd04c5825cb92a78263a67df41529c41ff9d522f
504736,2018-01-18 00:23:51,0.05512397189777553,10972.1795472,0000000000000000004d41fd2b23b4fe65bed5c34360560de13b62cebcccd717
485387,2017-09-15 10:46:27,0.03784326831953888,3030.41587258,00000000000000000105623d766a47ea2fa03f86988cd341543aa5aa7fbd6ad7
513045,2018-03-11 17:29:36,0.030957066259821232,9444.61470278,00000000000000000041cc75486e61cb3dac53c42d12f1ebb0763b404390f4c1
478471,2017-07-31 23:16:34,0.026180465076543525,2839.3145162,000000000000000001202768c082862c5fb27a1a965d0ef7bcd7db734691a8f4
